index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
1,Virginia,2018-19,Academy of Academic Excellence,,,Henrico,Henrico,16,-1,100,,,
2,Virginia,2018-19,Academy of Christian Education,,,Fairfax,Fairfax,27,-1,100,,,
3,Virginia,2018-19,All Saints Catholic School,,,Richmond City,Richmond,24,-1,100,,,
4,Virginia,2018-19,Alternative Paths Training School,,,Fairfax,Fairfax,,-1,100,,,
5,Virginia,2018-19,Amherst Elementary,,,Amherst,Central Virginia,53,-1,100,,,
6,Virginia,2018-19,Antietam Elementary,,,Prince William,Prince William,91,-1,100,,,
7,Virginia,2018-19,Apple Pie Ridge Elementary,,,Frederick,Lord Fairfax,74,-1,100,,,
8,Virginia,2018-19,Appomattox Christian Academy,,,Appomattox,Central Virginia,,-1,100,,,
9,Virginia,2018-19,Appomattox Primary,,,Appomattox,Central Virginia,164,-1,100,,,
10,Virginia,2018-19,Atkins Elementary,,,Smyth,Mount Rogers,20,-1,100,,,
11,Virginia,2018-19,Auburn Elementary,,,Montgomery,New River,89,-1,100,,,
12,Virginia,2018-19,Aylett Country Day School,,,Essex,Three Rivers,19,-1,100,,,
13,Virginia,2018-19,Back Creek Elementary,,,Roanoke,Alleghany,55,-1,100,,,
14,Virginia,2018-19,Banner Christian School,,,Chesterfield,Chesterfield,,-1,100,,,
15,Virginia,2018-19,Barefoot Kids Christian Day School,,,Virginia Beach City,Virginia Beach,,-1,100,,,
16,Virginia,2018-19,Basis Independent Mclean,,,Fairfax,Fairfax,37,-1,100,,,
17,Virginia,2018-19,BeanTree Lrning-Fairfax,,,Fairfax,Fairfax,11,-1,100,,,
18,Virginia,2018-19,BeanTree Lrning-Pavillion,,,Loudoun,Loudoun,16,-1,100,,,
19,Virginia,2018-19,Bellevue Model Elementary,,,Richmond City,Richmond,36,-1,100,,,
20,Virginia,2018-19,Bethel Baptist Academy,,,Mecklenburg,Southside,,-1,100,,,
21,Virginia,2018-19,Bethel Christian School,,,Hampton City,Hampton,13,-1,100,,,
22,Virginia,2018-19,Blacksburg New School,,,Montgomery,New River,14,-1,100,,,
