,state,name,type,city,county,enroll,mmr,overall,xrel,xmed,xper
0,Arizona,A J Mitchell Elementary,Public,Nogales,Santa Cruz,51.0,100.0,92.06,4.33,2.0,7.53
1,Arizona,Academy Del Sol,Charter,Tucson,Pima,22.0,100.0,92.06,4.33,2.0,7.53
2,Arizona,Academy Del Sol - Hope,Charter,Tucson,Pima,85.0,100.0,92.06,4.33,2.0,7.53
3,Arizona,Academy Of Mathematics And Science South,Charter,Phoenix,Maricopa,60.0,100.0,92.06,4.33,2.0,7.53
4,Arizona,Acclaim Academy,Charter,Phoenix,Maricopa,43.0,100.0,92.06,4.33,2.33,2.33
5,Arizona,Alfred F Garcia,Public,Phoenix,Maricopa,36.0,100.0,92.06,4.33,2.0,7.53
6,Arizona,All Aboard Charter,Charter,Phoenix,Maricopa,24.0,100.0,92.06,4.33,2.0,4.17
7,Arizona,Amerischools Academy - Yuma South Campus,Charter,Yuma,Yuma,22.0,100.0,92.06,4.33,2.0,7.53
8,Arizona,Arizona Cultural Academy,Private,Phoenix,Maricopa,26.0,100.0,92.06,4.33,2.0,7.53
9,Arizona,Arizona Desert Elementary,Public,San Luis,Yuma,78.0,100.0,92.06,4.33,2.0,7.53
10,Arizona,Arthur M Hamilton,Public,Phoenix,Maricopa,35.0,100.0,92.06,4.33,2.86,7.53
11,Arizona,Bella Vista Elementary,Public,Sierra Vista,Cochise,54.0,100.0,92.06,4.33,2.0,7.53
12,Arizona,Blenman Elementary,Public,Tucson,Pima,54.0,100.0,92.06,4.33,7.41,7.53
13,Arizona,Booth Magnet Elementary,Public,Tucson,Pima,34.0,100.0,92.06,4.33,2.0,7.53
14,Arizona,Butterfield Elementary,Public,Tucson,Pima,57.0,100.0,92.06,4.33,2.0,7.53
15,Arizona,Carrillo Intermediate Magnet,Public,Tucson,Pima,47.0,100.0,92.06,4.33,2.13,7.53
16,Arizona,Casa Blanca Community,Public,Bapchule,Pinal,54.0,100.0,92.06,4.33,2.0,7.53
17,Arizona,Cesar Chavez Elementary,Public,San Luis,Yuma,98.0,100.0,92.06,4.33,2.0,7.53
