,state_mean,city_mean,county_mean,type_of_school,enroll,xtotal,at_least_95
0,6,290,108,1,50,0,1
1,6,265,117,2,21,0,1
2,6,265,117,2,84,0,1
3,6,248,87,2,59,0,1
4,6,248,87,2,42,1485,1
5,6,248,87,1,35,0,1
6,6,248,87,2,23,1373,1
7,6,276,139,2,21,0,1
8,6,248,87,3,25,0,1
9,6,310,139,1,77,0,1
10,6,248,87,1,34,991,1
11,6,258,118,1,53,0,1
12,6,265,117,1,53,1937,1
13,6,265,117,1,33,0,1
14,6,265,117,1,56,0,1
15,6,265,117,1,46,743,1
16,6,310,92,1,53,0,1
17,6,310,139,1,97,0,1
18,6,290,108,1,66,0,1
19,6,310,102,1,57,0,1
20,6,265,117,1,54,0,1
21,6,275,47,1,133,1441,1
22,6,239,87,1,46,0,1
23,6,301,44,1,58,0,1
24,6,265,117,1,33,0,1
25,6,248,87,1,62,0,1
26,6,310,139,1,91,0,1
27,6,310,44,3,40,0,1
28,6,265,117,1,58,0,1
29,6,265,117,1,49,0,1
30,6,265,117,1,47,725,1
31,6,248,87,2,48,0,1
32,6,224,87,2,29,1126,1
33,6,310,139,1,74,0,1
34,6,271,87,1,72,0,1
35,6,271,87,1,96,335,1
36,6,228,87,1,57,0,1
37,6,248,87,2,40,0,1
38,6,310,139,1,60,0,1
39,6,265,117,1,123,0,1
40,6,226,87,1,52,0,1
41,6,271,87,1,80,0,1
42,6,254,87,1,61,0,1
43,6,248,87,1,199,0,1
44,6,276,139,1,70,0,1
45,6,276,139,2,72,0,1
46,6,310,139,2,75,0,1
47,6,248,87,1,73,0,1
48,6,265,117,1,37,0,1
49,6,265,117,1,43,0,1
50,6,265,117,1,47,725,1
51,6,258,118,1,77,0,1
52,6,310,102,3,25,0,1
53,6,310,117,1,90,0,1
54,6,265,117,1,78,421,1
55,6,248,87,1,42,0,1
56,6,254,87,1,60,0,1
57,6,248,87,1,107,306,1
58,6,265,117,1,72,0,1
59,6,248,87,1,37,912,1
60,6,310,44,1,21,0,1
61,6,224,87,1,55,0,1
62,6,265,117,1,115,0,1
63,6,248,87,1,83,0,1
64,6,248,87,1,57,0,1
65,6,226,87,1,93,0,1
66,6,265,117,2,104,0,1
67,6,265,117,1,39,0,1
68,6,265,117,2,124,2068,1
69,6,310,55,1,21,0,1
70,6,290,108,1,63,0,1
71,6,265,117,1,83,0,1
72,6,290,108,1,20,0,1
73,6,224,87,1,64,0,1
74,6,279,118,3,20,2125,1
75,6,265,117,1,59,0,1
76,6,224,87,1,65,519,1
77,6,265,117,1,78,0,1
78,6,310,102,1,30,0,1
79,6,310,102,1,56,0,1
80,6,274,92,1,21,0,1
81,6,248,87,1,39,0,1
82,6,274,92,1,111,0,1
83,6,265,117,1,27,1206,1
84,6,265,117,1,88,0,1
85,6,265,117,1,26,0,1
86,6,248,87,1,57,0,1
87,6,265,117,1,26,0,1
88,6,296,108,1,43,1859,1
89,6,310,92,3,44,0,1
90,6,248,87,1,66,0,1
91,6,265,117,1,65,1033,1
92,6,310,118,1,33,0,1
93,6,226,87,3,44,0,1
94,6,244,87,3,24,1332,1
95,6,265,117,1,28,0,1
96,6,279,118,2,20,0,1
97,6,288,139,1,62,0,1
98,6,290,108,3,23,1373,1
99,6,248,87,2,75,0,1
100,6,276,139,1,36,0,1
101,6,310,92,1,22,0,1
102,6,310,44,1,44,0,1
103,6,224,87,1,67,499,1
104,6,207,87,2,80,1937,1
105,6,265,117,1,33,0,1
106,6,265,117,3,23,1373,1
107,6,265,117,1,84,0,1
108,6,265,117,1,60,567,1
109,6,310,139,1,68,0,1
110,6,265,117,1,62,0,1
111,6,265,117,1,69,0,1
112,6,290,108,1,40,0,1
113,6,276,139,1,65,0,1
114,6,265,117,1,36,0,1
115,6,310,92,1,82,0,1
116,6,265,117,1,25,0,1
117,6,265,117,3,40,0,1
118,6,265,117,3,33,0,1
119,6,265,117,3,21,0,1
120,6,254,87,3,23,0,1
121,6,310,92,3,21,0,1
122,6,271,87,3,40,0,1
123,6,224,87,3,21,1459,1
124,6,265,117,3,33,1012,1
125,6,248,87,3,39,0,1
126,6,265,117,1,56,0,1
127,6,296,108,1,91,0,1
128,6,310,102,1,41,0,1
129,6,265,117,1,69,0,1
130,6,265,117,3,23,0,1
131,6,310,110,1,21,0,1
132,6,248,87,2,46,0,1
133,6,265,117,2,58,0,1
134,6,248,87,1,54,0,1
135,6,265,117,1,67,0,1
136,6,248,87,1,88,0,1
137,6,248,87,1,110,0,1
138,6,248,87,1,38,0,1
139,6,265,117,1,54,0,1
140,6,258,118,1,49,0,1
141,6,262,87,1,72,0,1
142,6,310,102,1,61,0,1
143,6,248,87,1,93,346,1
144,6,276,139,1,60,0,1
145,6,248,87,1,56,0,1
146,6,265,117,1,46,0,1
147,6,220,55,1,56,0,1
148,6,265,117,1,57,604,1
149,6,224,87,1,105,308,1
150,6,248,87,2,144,0,1
151,6,248,87,1,144,461,1
152,6,255,87,1,136,1008,1
153,6,248,87,1,136,221,1
154,6,239,87,2,123,249,1
155,6,248,87,1,122,249,1
156,6,276,139,1,119,255,1
157,6,271,87,2,112,280,1
158,6,235,87,1,107,1250,1
159,6,248,87,1,102,681,1
160,6,265,92,1,97,333,1
161,6,254,87,1,96,1055,1
162,6,265,117,1,93,0,1
163,6,265,117,1,92,0,1
164,6,265,117,1,92,353,1
165,6,271,87,1,90,0,1
166,6,291,117,1,88,369,1
167,6,248,87,1,85,804,1
168,6,262,87,1,85,383,1
169,6,262,87,1,84,390,1
170,6,224,87,1,84,390,1
171,6,248,87,1,84,0,1
172,6,220,55,1,84,390,1
173,6,265,117,1,83,824,1
174,6,248,87,1,82,396,1
175,6,248,87,1,82,832,1
176,6,288,139,1,82,396,1
177,6,254,87,1,81,403,1
178,6,276,139,1,80,406,1
179,6,248,87,1,79,414,1
180,6,226,87,1,79,866,1
181,6,248,87,1,78,421,1
182,6,248,87,1,78,0,1
183,6,248,87,1,78,421,1
184,6,248,87,1,77,422,1
185,6,265,117,1,76,431,1
186,6,254,87,1,76,904,1
187,6,248,87,1,75,436,1
188,6,248,87,1,74,440,1
189,6,297,118,1,74,0,1
190,6,255,87,2,73,448,1
191,6,271,87,1,73,1343,1
192,6,248,87,1,72,0,1
193,6,254,87,1,72,0,1
194,6,247,87,1,72,457,1
195,6,248,87,1,72,457,1
196,6,265,117,2,72,457,1
197,6,248,87,1,72,457,1
198,6,262,87,1,70,474,1
199,6,239,87,1,70,982,1
200,6,248,87,1,69,0,1
201,6,248,87,2,68,491,1
202,6,228,87,1,68,491,1
203,6,224,87,1,65,0,1
204,6,207,87,1,65,519,1
205,6,276,139,1,65,0,1
206,6,248,87,1,65,0,1
207,6,207,87,1,65,519,1
208,6,274,92,1,64,527,1
209,6,262,87,1,64,0,1
210,6,224,87,1,64,1760,1
211,6,254,37,2,63,537,1
212,6,207,87,3,63,537,1
213,6,276,139,1,61,554,1
214,6,271,87,1,61,554,1
215,6,235,87,1,61,554,1
216,6,239,87,1,61,554,1
217,6,191,92,1,61,554,1
218,6,254,87,1,61,1100,1
219,6,265,117,1,60,1112,1
220,6,224,87,1,60,1112,1
221,6,248,87,1,60,1112,1
222,6,254,87,1,120,571,1
223,6,279,47,1,120,0,1
224,6,254,87,1,59,581,1
225,6,276,139,1,59,581,1
226,6,265,117,1,58,594,1
227,6,248,87,1,117,594,1
228,6,224,87,1,57,1586,1
229,6,248,87,1,114,612,1
230,6,255,87,1,113,617,1
231,6,292,117,1,56,617,1
232,6,224,87,1,56,617,1
233,6,279,118,1,56,0,1
234,6,224,87,1,56,1188,1
235,6,301,44,1,56,0,1
236,6,265,117,1,55,630,1
237,6,271,87,1,111,630,1
238,6,276,139,2,167,824,1
239,6,274,92,1,55,630,1
240,6,265,117,1,54,642,1
241,6,265,117,1,109,642,1
242,6,248,87,1,54,642,1
243,6,248,87,1,53,1246,1
244,6,248,87,1,53,650,1
245,6,248,87,1,106,0,1
246,6,276,139,1,104,667,1
247,6,248,87,1,51,677,1
248,6,258,118,1,51,1707,1
249,6,177,37,1,51,677,1
250,6,248,87,1,102,1002,1
251,6,224,87,1,101,1012,1
252,6,265,117,1,50,1979,1
253,6,235,87,1,50,688,1
254,6,262,87,1,50,688,1
255,6,207,87,1,50,1722,1
256,6,248,87,1,50,0,1
257,6,265,117,1,49,700,1
258,6,290,44,1,49,700,1
259,6,265,117,1,49,700,1
260,6,291,117,1,97,711,1
261,6,290,92,1,97,711,1
262,6,248,87,2,97,333,1
263,6,265,117,1,97,333,1
264,6,248,87,1,145,457,1
265,6,248,87,1,96,0,1
266,6,248,87,1,96,0,1
267,6,288,139,1,96,0,1
268,6,244,87,1,95,1070,1
269,6,254,87,1,95,1373,1
270,6,226,87,1,47,1369,1
271,6,254,87,1,141,977,1
272,6,262,87,1,93,743,1
273,6,265,117,1,46,743,1
274,6,235,87,2,46,743,1
275,6,226,87,1,93,1089,1
276,6,248,87,1,46,0,1
277,6,265,117,1,46,743,1
278,6,265,117,1,91,0,1
279,6,228,87,1,91,753,1
280,6,263,110,1,90,0,1
281,6,224,87,1,90,767,1
282,6,265,117,1,44,773,1
283,6,248,87,1,44,0,1
284,6,248,87,1,44,0,1
285,6,265,117,1,89,1126,1
286,6,276,139,3,44,773,1
287,6,202,87,1,88,1138,1
288,6,235,87,3,43,788,1
289,6,247,87,1,87,1159,1
290,6,257,110,1,129,801,1
291,6,226,87,1,127,810,1
292,6,252,117,1,84,814,1
293,6,254,87,1,41,824,1
294,6,224,87,1,83,1206,1
295,6,202,87,1,41,824,1
296,6,224,87,1,82,396,1
297,6,286,44,1,122,846,1
298,6,248,87,1,81,846,1
299,6,248,87,1,81,403,1
300,6,262,87,1,121,567,1
301,6,199,87,1,80,1246,1
302,6,265,117,1,80,857,1
303,6,276,139,1,120,860,1
304,6,291,117,1,200,864,1
305,6,285,92,1,39,866,1
306,6,265,117,1,78,878,1
307,6,258,118,1,78,874,1
308,6,265,117,1,77,885,1
309,6,224,87,1,77,885,1
310,6,248,87,1,76,904,1
311,6,248,87,1,76,431,1
312,6,224,87,1,76,1595,1
313,6,196,25,1,75,1321,1
314,6,265,117,1,37,912,1
315,6,248,87,1,37,912,1
316,6,248,87,1,113,912,1
317,6,267,87,1,75,1825,1
318,6,248,87,1,74,1332,1
319,6,265,117,1,74,1619,1
320,6,254,87,1,74,924,1
321,6,265,117,1,73,934,1
322,6,265,92,1,36,934,1
323,6,248,87,1,110,634,1
324,6,226,87,3,36,934,1
325,6,248,87,2,36,1639,1
326,6,265,117,2,72,0,1
327,6,224,87,1,72,952,1
328,6,202,87,1,72,952,1
329,6,248,87,1,108,0,1
330,6,248,87,1,71,0,1
331,6,254,87,1,107,2030,1
332,6,191,92,1,35,966,1
333,6,279,118,1,71,0,1
334,6,265,117,1,35,966,1
335,6,254,87,1,70,474,1
336,6,224,87,1,70,982,1
337,6,224,87,1,104,667,1
338,6,281,92,1,34,991,1
339,6,281,110,1,34,0,1
340,6,248,87,1,104,667,1
341,6,265,117,1,34,0,1
342,6,254,87,3,34,0,1
343,6,248,87,1,34,991,1
344,6,248,87,1,68,491,1
345,6,224,87,1,68,491,1
346,6,191,92,1,68,1001,1
347,6,220,55,1,67,1423,1
348,6,276,139,1,67,1012,1
349,6,248,87,1,66,0,1
350,6,254,87,1,66,1020,1
351,6,265,117,1,66,507,1
352,6,265,117,1,99,700,1
353,6,254,87,2,65,1752,1
354,6,280,118,1,98,0,1
355,6,265,117,1,65,1033,1
356,6,248,87,1,65,1033,1
357,6,244,87,1,98,1033,1
358,6,248,87,1,65,1749,1
359,6,228,87,2,96,1055,1
360,6,254,87,1,160,652,1
361,6,220,55,2,63,2214,1
362,6,279,118,1,31,0,1
363,6,248,87,3,31,1775,1
364,6,207,87,1,62,548,1
365,6,248,87,1,62,1080,1
366,6,265,117,1,93,743,1
367,6,191,92,1,124,1673,1
368,6,248,87,1,124,1093,1
369,6,265,117,1,61,554,1
370,6,276,139,1,61,1100,1
371,6,265,117,2,91,1816,1
372,6,226,87,1,91,1642,1
373,6,262,87,1,91,1411,1
374,6,265,117,1,121,1112,1
375,6,247,87,1,60,1112,1
376,6,207,87,1,60,2013,1
377,6,248,87,1,60,567,1
378,6,276,139,1,120,1123,1
379,6,277,25,1,29,2153,1
380,6,226,87,1,119,1717,1
381,6,207,87,1,89,1668,1
382,6,254,87,1,89,1126,1
383,6,258,118,3,29,1126,1
384,6,220,55,2,29,1126,1
385,6,248,87,1,29,2501,1
386,6,248,87,3,29,1126,1
387,6,265,117,1,89,773,1
388,6,207,87,1,29,1840,1
389,6,254,87,1,118,1722,1
390,6,248,87,1,88,1445,1
391,6,224,87,2,58,2039,1
392,6,226,87,1,58,1566,1
393,6,265,117,1,87,788,1
394,6,248,87,1,87,1159,1
395,6,235,87,2,87,1159,1
396,6,276,139,1,87,375,1
397,6,248,87,1,57,1171,1
398,6,226,87,2,86,1471,1
399,6,265,117,1,57,604,1
400,6,279,118,1,57,0,1
401,6,211,117,1,86,1471,1
402,6,248,87,1,199,131,1
403,6,262,87,1,56,617,1
404,6,244,87,1,56,1186,1
405,6,254,87,1,84,1499,1
406,6,248,87,1,112,918,1
407,6,265,117,1,55,1206,1
408,6,279,118,1,55,630,1
409,6,265,117,1,55,1206,1
410,6,199,92,1,83,394,1
411,6,265,117,1,110,1636,1
412,6,224,87,1,82,1521,1
413,6,265,117,1,54,1228,1
414,6,265,117,1,54,1918,1
415,6,274,77,1,136,0,1
416,6,254,37,1,108,646,1
417,6,265,117,1,80,1246,1
418,6,202,87,1,80,1246,1
419,6,248,87,1,53,1246,1
420,6,248,87,1,80,1246,1
421,6,224,87,1,53,1668,1
422,6,265,117,2,26,1246,1
423,6,271,87,1,80,1543,1
424,6,265,117,2,160,1256,1
425,6,224,87,1,79,414,1
426,6,214,87,1,79,2294,1
427,6,272,87,1,79,0,1
428,6,254,87,1,52,1684,1
429,6,202,87,1,131,1459,1
430,6,265,117,1,78,1785,1
431,6,248,87,2,51,1966,1
432,6,261,117,1,77,1578,1
433,6,247,87,1,129,1294,1
434,6,265,117,2,51,1294,1
435,6,248,87,1,103,0,1
436,6,248,87,1,102,1299,1
437,6,262,87,1,76,904,1
438,6,248,87,1,76,1976,1
439,6,244,87,1,75,1602,1
440,6,248,87,1,75,1321,1
441,6,248,87,2,24,1994,1
442,6,226,87,1,99,1332,1
443,6,224,87,1,74,1619,1
444,6,199,92,1,49,1332,1
445,6,258,118,2,74,1332,1
446,6,248,87,1,124,1994,1
447,6,248,87,1,74,1994,1
448,6,248,87,2,49,1332,1
449,6,265,117,1,74,1332,1
450,6,248,87,2,172,801,1
451,6,248,87,1,73,1639,1
452,6,224,87,1,73,1852,1
453,6,296,108,1,73,934,1
454,6,248,87,1,73,1639,1
455,6,228,87,1,48,711,1
456,6,248,87,1,48,1349,1
457,6,265,117,3,48,711,1
458,6,244,87,1,72,1360,1
459,6,224,87,1,72,457,1
460,6,271,87,1,72,952,1
461,6,202,87,3,23,1373,1
462,6,279,118,2,23,0,1
463,6,224,87,1,95,1070,1
464,6,254,37,2,47,1373,1
465,6,248,87,1,166,1515,1
466,6,126,92,1,70,982,1
467,6,244,87,1,70,1679,1
468,6,211,117,1,93,1089,1
469,6,248,87,1,46,0,1
470,6,265,117,1,46,0,1
471,6,248,87,3,46,1793,1
472,6,265,117,1,93,1392,1
473,6,265,117,1,69,1897,1
474,6,274,92,1,69,1698,1
475,6,248,87,1,92,1631,1
476,6,248,87,1,92,2200,1
477,6,267,87,1,22,2061,1
478,6,266,37,1,22,1411,1
479,6,254,87,1,68,1712,1
480,6,274,92,1,45,753,1
481,6,228,87,1,68,1411,1
482,6,274,92,1,68,1001,1
483,6,202,87,1,68,1001,1
484,6,226,87,1,91,1106,1
485,6,254,87,1,90,2066,1
486,6,265,117,1,90,1657,1
487,6,239,87,1,67,1722,1
488,6,248,87,1,112,1425,1
489,6,276,139,2,44,1431,1
490,6,274,92,1,66,507,1
491,6,248,87,1,66,1023,1
492,6,262,87,1,88,1445,1
493,6,248,87,1,110,1448,1
494,6,224,87,2,132,229,1
495,6,248,87,1,65,0,1
496,6,248,87,2,21,1459,1
497,6,265,117,2,21,0,1
498,6,248,87,2,43,1459,1
499,6,248,87,1,86,1171,1
500,6,254,87,1,64,1053,1
501,6,265,117,1,42,1481,1
502,6,265,117,1,42,1485,1
503,6,264,118,1,42,1481,1
504,6,244,87,3,42,2256,1
505,6,262,87,1,42,1879,1
506,6,220,55,1,85,1184,1
507,6,258,118,3,20,2125,1
508,6,207,87,1,41,1897,1
509,6,262,87,2,125,1668,1
510,6,254,87,1,62,1511,1
511,6,265,117,1,62,1080,1
512,6,248,87,1,83,1206,1
513,6,248,87,1,104,2049,1
514,6,207,87,3,20,1511,1
515,6,167,25,3,20,1511,1
516,6,262,87,1,103,1707,1
517,6,248,87,1,82,1521,1
518,6,281,87,1,61,1097,1
519,6,244,87,1,102,1526,1
520,6,265,117,1,40,846,1
521,6,265,117,1,40,1531,1
522,6,265,117,1,40,1531,1
523,6,202,87,1,101,1862,1
524,6,262,87,1,60,567,1
525,6,202,87,1,141,1969,1
526,6,254,87,1,80,1543,1
527,6,248,87,1,80,1246,1
528,6,265,117,2,100,1733,1
529,6,254,87,1,79,1551,1
